speaker	language	word_number	word	spontaneous_response	uncued	cue_semantic_correct	cue_semantic_incorrect	cue_phonemic_correct	cue_phonemic_incorrect
sub_05	english	47	cage		x				
sub_05	english	48	arrow		x				
sub_05	english	49	rake		x				
sub_05	english	50	saw		x				
sub_05	english	51	nest		x				
sub_05	english	52	plug		x				
sub_05	english	53	wig		x				
sub_05	english	54	screw		x				
sub_05	english	55	king		x				
sub_05	english	56	scarf		x				
sub_05	english	57	well		x				
sub_05	english	58	dustpan	picker upper				x	
sub_05	english	59	parachute		x				
sub_05	english	60	blind		x				
sub_05	english	61	hinge		x				
sub_05	english	62	funnel		x				
sub_05	english	63	gauge, barometer, manometer	scale		a			
sub_05	english	64	porthole		x				
sub_05	english	65	anvil	navel		a			x
sub_05	english	66	mortar	mixing bowl 		a			x
sub_05	english	67	pestle						x
sub_05	english	68	axle		x				
sub_05	spanish	1	mano		x				
sub_05	spanish	2	perro		x				
sub_05	spanish	3	árbol		x				
sub_05	spanish	4	cama		x				
sub_05	spanish	5	puerta		x				
sub_05	spanish	6	sol		x				
sub_05	spanish	7	libro		x				
sub_05	spanish	8	mariposa		x				
sub_05	spanish	9	tijeras		x				
sub_05	spanish	10	llave		x				
sub_05	spanish	11	silla		x				
sub_05	spanish	12	luna		x				
sub_05	spanish	13	avión	aro	x				
sub_05	spanish	14	manzana		x				
sub_05	spanish	15	pescado, pez		x				
sub_05	spanish	16	uvas		x				
sub_05	spanish	17	caballo		x				
sub_05	spanish	18	tambor		x				
sub_05	spanish	19	guante		x				
sub_05	spanish	20	foco, bombilla	luz, foca		a			
sub_05	spanish	21	pastel, tarta		x				
sub_05	spanish	22	reloj		x				
sub_05	spanish	23	oso					x	
sub_05	spanish	24	tenedor		x				
sub_05	spanish	25	sombrero	cachucha		a			
sub_05	spanish	26	hoja					x	
sub_05	spanish	27	corbata		x				
sub_05	spanish	28	vela					x	
sub_05	spanish	29	canasta, cesta		x				
sub_05	spanish	30	payaso		x				
sub_05	spanish	31	papalote, cometa, barrilete						x
sub_05	spanish	32	arco iris						x
sub_05	spanish	33	bruja		x				
sub_05	spanish	34	subibaja, balancín, columpio					x	
sub_05	spanish	35	linterna, lámpara portátil	luz			a		x
sub_05	spanish	36	nube		x				
sub_05	spanish	37	plancha		x				
sub_05	spanish	38	pluma	hoja			a	x	
sub_05	spanish	39	pavo real						x
sub_05	spanish	40	puente					x	
sub_05	spanish	41	hueso		x				
sub_05	spanish	42	caracol						x
sub_05	spanish	43	zíper, cierre, cremallera		x				
sub_05	spanish	44	candado	cadena			a		x
sub_05	spanish	45	ballena						x
sub_05	spanish	46	enfermera		x				
sub_05	spanish	47	jaula						x
sub_05	spanish	48	flecha		x				
sub_05	spanish	49	rastrillo						x
sub_05	spanish	50	serrucho, sierra						x
sub_05	spanish	51	nido						x
sub_05	spanish	52	enchufe		x				
sub_05	spanish	53	peluca	pelo			a		x
sub_05	spanish	54	tornillo	clave			a		x
sub_05	spanish	55	rey		x				
sub_05	spanish	56	bufanda		x				
sub_05	spanish	57	pozo						x
sub_05	spanish	58	recogedor		x				
sub_05	spanish	59	paracaídas						x
sub_05	spanish	60	persiana						x
sub_05	spanish	61	bisagra						x
sub_05	spanish	62	embudo						x
sub_05	spanish	63	medidor, barómetro, calibrador, manOmetro				x		x
sub_05	spanish	64	portilla	ventana			a		x
sub_05	spanish	65	yunque						x
sub_05	spanish	66	 molcajete, mortero		x				
sub_05	spanish	67	mano de mortero						x
sub_05	spanish	68	eje						x
sub_06	english	1	hand		x				
sub_06	english	2	dog		x				
sub_06	english	3	tree		x				
sub_06	english	4	bed		x				
sub_06	english	5	door		x				
sub_06	english	6	sun		x				
sub_06	english	7	book		x				
sub_06	english	8	butterfly		x				
sub_06	english	9	scissors		x				
sub_06	english	10	key		x				
sub_06	english	11	chair		x				
sub_06	english	12	moon		x				
sub_06	english	13	airplane		x				
sub_06	english	14	apple		x				
sub_06	english	15	fish		x				
sub_06	english	16	grapes		x				
sub_06	english	17	horse		x				
sub_06	english	18	drum		x				
sub_06	english	19	glove		x				
sub_06	english	20	lightbulb		x				
sub_06	english	21	cake		x				
sub_06	english	22	watch		x				
sub_06	english	23	bear		x				
sub_06	english	24	fork		x				
sub_06	english	25	hat		x				
sub_06	english	26	leaf		x				
sub_06	english	27	tie		x				
sub_06	english	28	candle		x				
sub_06	english	29	basket		x				
sub_06	english	30	clown		x				
sub_06	english	31	kite		x				
sub_06	english	32	rainbow		x				
sub_06	english	33	witch		x				
sub_06	english	34	seesaw		x				
sub_06	english	35	flashlight	lamp				x	
sub_06	english	36	cloud		x				
sub_06	english	37	iron		x				
sub_06	english	38	feather		x				
sub_06	english	39	peacock	ostrich, DK					x
sub_06	english	40	bridge		x				
sub_06	english	41	bone		x				
sub_06	english	42	snail		x				
sub_06	english	43	zipper		x				
sub_06	english	44	lock	combination lock, lock	x				
sub_06	english	45	whale		x				
sub_06	english	46	nurse		x				
sub_06	english	47	cage		x				
sub_06	english	48	arrow		x				
sub_06	english	49	rake	rack				x	
sub_06	english	50	saw		x				
sub_06	english	51	nest		x				
sub_06	english	52	plug	power outlet, DK					x
sub_06	english	53	wig		x				
sub_06	english	54	screw		x				
sub_06	english	55	king		x				
sub_06	english	56	scarf		x				
sub_06	english	57	well		x				
sub_06	english	58	dustpan	DK					x
sub_06	english	59	parachute		x				
sub_06	english	60	blind	DK					x
sub_06	english	61	hinge		x				
sub_06	english	62	funnel		x				
sub_06	english	63	gauge, barometer, manometer	valve, DK					x
sub_06	english	64	porthole	DK					x
sub_06	english	65	anvil	DK					x
sub_06	english	66	mortar	DK					
sub_06	english	67	pestle	Dk					
sub_06	english	68	axle		x				
sub_06	spanish	1	mano		x				
sub_06	spanish	2	perro		x				
sub_06	spanish	3	árbol		x				
sub_06	spanish	4	cama		x				
sub_06	spanish	5	puerta		x				
sub_06	spanish	6	sol		x				
sub_06	spanish	7	libro		x				
sub_06	spanish	8	mariposa		x				
sub_06	spanish	9	tijeras		x				
sub_06	spanish	10	llave		x				
sub_06	spanish	11	silla		x				
sub_06	spanish	12	luna		x				
sub_06	spanish	13	avión		x				
sub_06	spanish	14	manzana		x				
sub_06	spanish	15	pescado, pez	pescado	x				
sub_06	spanish	16	uvas		x				
sub_06	spanish	17	caballo		x				
sub_06	spanish	18	tambor		x				
sub_06	spanish	19	guante		x				
